id;title;address;zip;type;icon;color;costs;lat;lng;priority
09G26;Schule an den Püttbergen (Grundschule);Fürstenwalder Allee 182;12589;Grundschule;fa-building-o;orange;5660000;52.43385;13.70158;Priorität 2 oder 3
09G20;Müggelheimer Schule (Grundschule);Odernheimer Str. 28;12559;Grundschule;fa-building-o;blue;4080000;52.41469;13.66739;unbekannte Priorität
09G29;Schmöckwitzer Insel-Schule (Grundschule);Adlergestell 776;12527;Grundschule;fa-building-o;blue;4640000;52.376769;13.647546;unbekannte Priorität
05G29;Mary-Poppins-Grundschule;Am Flugplatz Gatow 20;14089;Grundschule;fa-building-o;blue;340000;52.472209;13.127426;unbekannte Priorität
06G05;Conrad-Schule (Grundschule);Schulstr. 4;14109;Grundschule;fa-building-o;orange;6180000;52.415181;13.146695;Priorität 2 oder 3
05Y03;Hans-Carossa-Gymnasium;Am Landschaftspark Gatow 40;14089;Gymnasium;fa-building-o;blue;3100000;52.47244;13.13028;unbekannte Priorität
05G19;Grundschule am Ritterfeld;Schallweg 31;14089;Grundschule;fa-building-o;blue;2560000;52.455239;13.138357;unbekannte Priorität
05K09;Schule am Staakener Kleeblatt (Integrierte Sekundarschule);Brunsbütteler Damm 431-437;13591;Integrierte Sekundarschule;fa-building-o;blue;4840000;52.5349;13.13491;unbekannte Priorität
09Y06;Gerhart-Hauptmann-Gymnasium;Bruno-Wille-Str. 37-45;12587;Gymnasium;fa-building-o;orange;6340000;52.45227;13.63269;Priorität 2 oder 3
05G14;Linden-Grundschule;Staakener Feldstr. 6-8;13591;Grundschule;fa-building-o;blue;4040000;52.53517;13.14081;unbekannte Priorität
09G24;Müggelsee-Schule (Grundschule);Aßmannstr. 63;12587;Grundschule;fa-building-o;blue;2870000;52.45072;13.62746;unbekannte Priorität
05G16;Zeppelin-Grundschule;Heidebergplan 3-4;13591;Grundschule;fa-building-o;blue;3840000;52.5409;13.14635;unbekannte Priorität
10S08;Schule am Mummelsoll;Eilenburger Str. 4;12627;"Förderschwerp.""Geistige Entwicklung""";fa-building-o;green;0;52.540282;13.629414;unbekannte Priorität
10G19;Bücherwurm-Schule am Weiher (Grundschule);Eilenburger Str. 1;12627;Grundschule;fa-building-o;orange;5930000;52.54068;13.62913;Priorität 2 oder 3
09S04;Ahorn-Schule;Peter-Hille-Str. 118;12587;Übrige Förderschwerpunkte;fa-building-o;blue;4020000;52.44782;13.61966;unbekannte Priorität
09G27;Friedrichshagener Schule (Grundschule);Peter-Hille-Str. 7;12587;Grundschule;fa-building-o;orange;5030000;52.454606;13.621399;Priorität 2 oder 3
10G30;Mahlsdorfer Grundschule;Feldrain 47;12623;Grundschule;fa-building-o;blue;3970000;52.522102;13.628787;unbekannte Priorität
09K05;Wilhelm-Bölsche-Schule (Integrierte Sekundarschule);Aßmannstr. 11;12587;Integrierte Sekundarschule;fa-building-o;orange;6300000;52.45109;13.61894;Priorität 2 oder 3
05G23;Grundschule am Brandwerder;Spandauer Str. 86;13591;Grundschule;fa-building-o;blue;4010000;52.53595;13.15293;unbekannte Priorität
