id;title;SCHULE1;address;lat;lng;type;SCHULFORM1;icon;color;Gebaeudeklasse;KESSFaktor;Summe2011;Summe2012;Summe2013;Summe2014;Summe2015;SCHULE2;REGION2;SCHULFORM2;Kessfaktor2;Plankosten2016
;;;;;;;;;;;;;;;;;3. Gymnasium Altona;Altona;Grundschule;2;350000
5818;Abendschule St. Georg;;Rostocker Straße 41, 20099 Hamburg;53.557215;10.015731;Abendgymnasium;;fa-building-o;green;;;;;;;;;;;;
5819;Abendschule Vor dem Holstentor;Abendschule Vor dem Holstentor;Holstenglacis 6, 20355 Hamburg;53.558032;9.977063;Abendgymnasium;Abendschule;fa-building-o;green;4;0;;;13850;8858;;;;;;
5616;Adolph-Diesterweg-Schule;Adolph-Diesterweg-Schule;Felix-Jud-Ring 29, 21035 Hamburg;53.48722;10.147817;Grundschule;Grundschule;fa-building-o;green;2;2;;;19809;16452;22197;;;;;
5430;Adolph-Schönfelder-Schule;Adolph-Schönfelder-Schule;Zeisigstraße 3, 22081 Hamburg;53.577639;10.047449;Grundschule;Grundschule;fa-building-o;green;3,4;3;;;17550;19216;23412;;;;;
5810;Albert-Schweitzer-Gymnasium;Albert-Schweitzer-Gymnasium;Struckholt 27, 22337 Hamburg;53.628066;10.031383;Gymnasium;Gymnasium;fa-building-o;green;4;6;;;46521;25432;47320;Albert-Schweitzer-Gymnasium;Hamburg-Nord;Gymnasium;6;132700
5053;Albert-Schweitzer-Schule;Albert-Schweitzer-Schule;Schluchtweg 1, 22337 Hamburg;53.632579;10.047345;Stadtteilschule;Grundschule;fa-building-o;green;3,1;6;;;32954;23165;30870;;;;;
5860;Albrecht-Thaer-Gymnasium;Albrecht-Thaer-Gymnasium;Wegenkamp 3, 22527 Hamburg;53.600474;9.925237;Gymnasium;Gymnasium;fa-building-o;green;2,9;5;;;65540;57827;56499;Albrecht-Thaer-Gymnasium;Eimsbüttel;Gymnasium;5;550000
5840;Alexander-von-Humboldt-Gymnasium;Alexander-von-Humboldt-Gymnasium;Rönneburger Straße 50, 21079 Hamburg;53.438785;9.993343;Gymnasium;Gymnasium;fa-building-o;green;2,9;5;0;0;0;0;0;Alexander-von-Humboldt-Gymnasium;GMH - Süd;Gymnasium;5;106500
7915;Alsterring Gymnasium;;Wittenkamp 15, 22307 Hamburg;53.597049;10.048367;Gymnasium;;fa-building-o;green;;;;;;;;;;;;
;;Am Falkenberg;;;;;Grundschule;;;2,4;0;0;0;5164;0;0;Am Falkenberg;GMH - Süd;Grundschule / Stadtteilschule;4;67000
;;;;;;;;;;;;;;;;;Anna-Susanna-Stieg;Eimsbüttel;Grundschule;4;97050
