Gebäudenummer,Schulnummer,Schulart,Schulname,Straße,PLZ,Bauwerk,NF,GF,NGF,BGF,Grundstücksfläche,BauPrio Bauwerk,BauPrio TGA,BauPrio Außen,Bauprio Summe,SchulPrio Fachraum,SchulPrio Sanitär,SchulPrio Ganztag Essen,SchulPrio Summe,Priorität Gesamt,Priorität Wertung,Fenster Fläche,Faktor Flächenanteil,Kostenpauschale,Sanierung notwendig,Fenster Kosten,Gebäude Höhe in m,Gebäude Umfang in m aus Conject,Fassaden Fläche,Fassaden Fläche ohne Fenster,Faktor Flächenanteil,Kostenpauschale,Sanierung notwendig,Fassaden Kosten,Dachart,Dachfläche,€/Einheit,Sanierung Dach notwendig,Dach Kosten,Aufzug Kosten,Rampe Anzahl,Rampe Kosten,Eingang Anzahl,Eingang Kosten,Sanierung Türbreiten notwendig,Türen Kosten,BWC Anzahl,BWC Kosten,Zwischensumme Barrierefreiheit Kosten,zweiter Rettungsweg Kosten,Räume Nutzfläche BGF,Räume Kostenpauschale,Sanierung notw.,Räume Kosten,Sanitärfläche,Sanitär Sanierungsjahr,bereits sanierte Fläche in %,Fläche nicht saniert,Sanitär Kosten,Zeile Verknüpfung,Kapitel,löschen,ausblenden Bungalow Schuppen,,Räume Nutzfläche,Räume Kostenpauschale,Sanierung notw.,Räume Kosten,
1160901,11Y09,Oberschule,Barnim-Schule,Ahrensfelder Chaussee 41,13057,Schule,5733,5396,"9019,81","10078,25",37704,4,2,,6,,,,0,4,,1634,1,700,0,0 T€,10,460,4600,2966,1,300,0,0 T€,Flach,5396,150,0,0 T€,0 T€,0,0 T€,1,50 T€,1,200 T€,2,50 T€,300 T€,0 T€,"10078,25",750,0,0 T€,178,2002,100,0,0 T€,2,3700,,,,5555,750,0,0 T€,300 T€
1160902,11Y09,Oberschule,Barnim-Schule,Ahrensfelder Chaussee 41,13057,Sporthalle,3812,3739,"4383,24","5024,55",0,4,2,,6,,,,0,4,,572,1,700,0,,10,450,,4500,1,300,0,0 T€,Flach,3739,150,0,0 T€,0 T€,0,0 T€,1,50 T€,0,0 T€,,0 T€,50 T€,0 T€,"5024,55",750,0,0 T€,225,2013,100,0,0 T€,3,3700,,,,3587,750,0,0 T€,50 T€
1150201,11S02,Oberschule,Schule am Fennpfuhl,Alfred-Jung-Straße 19,10369,Schule,2442,813,"3418,02",3989,9314,3,3,,6,,,,0,4,,982,1,700,0,0 T€,17,170,2890,1908,1,300,0,0 T€,Flach,813,150,0,0 T€,200 T€,1,20 T€,1,50 T€,1,200 T€,5,125 T€,595 T€,150 T€,"3988,91",750,1,2.992 T€,177,2005,100,0,0 T€,5,3700,,,,2265,750,1,1.699 T€,5.120 T€
1150202,11S02,Oberschule,Schule am Fennpfuhl,Alfred-Jung-Straße 19,10369,Sporthalle,767,749,"876,03",990,0,2,2,,4,,,,0,3,,193,1,700,1,,7,110,770,577,1,300,0,0 T€,VT,749,350,0,0 T€,0 T€,1,20 T€,1,50 T€,0,0 T€,,0 T€,0 T€,0 T€,"989,62",750,0,0 T€,105,,,105,0 T€,6,3700,,,,663,750,0,0 T€,2.100 T€
1110601,11G06,Grundschule,Adam-Ries-Schule,Alt-Friedrichsfelde 66,10315,Schule,2457,830,"3496,3",3832,11675,2,2,,4,,,,0,3,,1113,1,700,1,779 T€,17,160,2720,1607,1,300,1,482 T€,Flach,830,150,1,124 T€,200 T€,1,20 T€,1,50 T€,1,200 T€,5,125 T€,595 T€,150 T€,"3831,5",350,1,1.341 T€,159,2012,100,0,0 T€,16,3700,,,,2298,350,1,804 T€,3.472 T€
1110602,11G06,Grundschule,Adam-Ries-Schule,Alt-Friedrichsfelde 66,10315,Sporthalle,749,756,"904,68",984,0,1,1,,2,,,,0,1,,170,1,700,1,,7,116,810,640,1,300,0,0 T€,VT,756,350,0,0 T€,0 T€,1,20 T€,1,50 T€,0,0 T€,,0 T€,0 T€,0 T€,"983,51",350,0,0 T€,65,,,65,0 T€,17,3700,,,,683,350,0,0 T€,2.100 T€
1150801,11S08,Oberschule,Schule Am Breiten Luch,Am breiten Luch 19,13053,Schule,2602,1057,"3691,27",4134,12532,3,3,,6,,,,0,4,,685,1,700,0,0 T€,13,146,1898,1213,1,300,0,0 T€,Flach,1057,150,0,0 T€,200 T€,1,20 T€,1,50 T€,1,200 T€,4,100 T€,570 T€,0 T€,"4134,05",750,1,3.101 T€,137,2011,100,0,0 T€,22,3700,,,,2465,750,1,1.849 T€,4.527 T€
1150802,11S08,Oberschule,Schule Am Breiten Luch,Am breiten Luch 19,13053,Sporthalle,754,757,"911,11",987,0,1,1,,2,,,,0,1,,191,1,700,1,,7,,0,-191,1,300,0,0 T€,VT,757,350,0,0 T€,0 T€,1,20 T€,1,50 T€,0,0 T€,,0 T€,0 T€,0 T€,"986,91",750,0,0 T€,67,2015,100,0,0 T€,20,3700,,,,687,750,0,0 T€,2.100 T€
1150803,11S08,Oberschule,Schule Am Breiten Luch,Am breiten Luch 19,13053,MZG,499,619,"569,19",619,0,1,1,,2,,,,0,1,,107,1,700,1,75 T€,"4,5",100,448,340,1,300,1,102 T€,VT,619,350,1,217 T€,0 T€,0,0 T€,1,50 T€,1,200 T€,1,25 T€,275 T€,0 T€,"618,65",750,1,464 T€,45,,0,45,99 T€,23,3700,,,,454,750,1,341 T€,1.231 T€
1112201,11G22,Grundschule,Martin-Niemöller-Schule,Am breiten Luch 5,13053,Schule,2599,1057,"3686,74",4133,9788,3,3,,6,,,,0,4,,684,1,700,0,0 T€,13,146,1898,1214,1,300,0,0 T€,Flach,1057,150,0,0 T€,150 T€,1,20 T€,1,50 T€,1,200 T€,4,100 T€,520 T€,0 T€,"4133,2",350,1,1.447 T€,143,2011,100,0,0 T€,25,3700,,,,2456,350,1,859 T€,3.019 T€
