BezNr;BSN;Schulname;StNr;BauwerkNr;MaßnahmeNr;Leistungsart;Standardleistung;Prio;Menge;Einheit;Mengenfaktor;Preisfaktor;Gesamtkosten;Finanzierung;Ignorieren;Bemerkung SenBJW;Unterpriorisierung durch FM Bau BA MarzHell für Maßnahmenumsetzung
10;10A04;Victor-Klemperer-Kolleg;10A04-01;10A04-01-B;10A04-01-B-001;Komplettsanierung Sporthalle(n);Sporthalle 22mx44m;1;1;Stk;1;1;1.800.000,00 €;;FALSCH;;B
10;10A04;Victor-Klemperer-Kolleg;10A04-01;10A04-01-C;10A04-01-C-001;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;131;m²;1;1;91.700,00 €;;FALSCH;;A
10;10A04;Victor-Klemperer-Kolleg;10A04-01;10A04-01-C;10A04-01-C-002;Dach sanieren;Flachdach;1;560;m²;1;1;84.000,00 €;;FALSCH;;A
10;10A04;Victor-Klemperer-Kolleg;10A04-01;10A04-01-C;10A04-01-C-003;Zweiter Rettungsweg;Zweiter Rettungsweg errichten klein;1;1;Stk;1;1;150.000,00 €;;FALSCH;;A
10;10A04;Victor-Klemperer-Kolleg;10A04-01;10A04-01-C;10A04-01-C-004;Raumsanierung;Oberschulraum;1;1120;m²;1;1;756.000,00 €;;FALSCH;;A
10;10A04;Victor-Klemperer-Kolleg;10A04-01;10A04-01-C;10A04-01-C-005;Sanitärsanierung;Sanitärbereich;1;59;m²;1;1;129.800,00 €;;FALSCH;;A
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-001;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;601,5;m²;1;1;421.050,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-003;Fassade sanieren;Fassade (einfach);1;1617,7;m²;1;1;242.655,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-004;Dach sanieren;Flachdach;1;1067;m²;1;1;160.050,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-006;Barrierefreiheit schaffen;Aufzugsanlage einbauen;1;1;Stk;1;1,14285714285714;200.000,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-007;Barrierefreiheit schaffen;Rampe errichten;1;1;Stk;1;1;20.000,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-008;Barrierefreiheit schaffen;Eingangsbereiche umbauen;1;1;Stk;1;1;50.000,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-009;Barrierefreiheit schaffen;Tür behindertengerecht umbauen (20/Gebäude);1;118;Stk;0,169491525423729;1;200.000,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-010;Barrierefreiheit schaffen;WC behindertengerecht umbauen (4/Gebäude);1;4;Stk;1;1;100.000,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-011;Zweiter Rettungsweg;Zweiter Rettungsweg errichten mittel;1;2;Stk;1;1;400.000,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-013;Raumsanierung;Grundschulraum;1;4156,36;m²;0,699999518809728;1;1.018.307,50 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-A;10G01-01-A-015;Sanitärsanierung;Sanitärbereich;1;98;m²;1;1;215.600,00 €;;FALSCH;;C
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-C;10G01-01-C-002;Fenster ersetzen;Fenster (alle außer Kastenfenster);1;161,77;m²;1;1;113.239,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-C;10G01-01-C-005;Dach sanieren;Flachdach;1;560;m²;1;1;84.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-C;10G01-01-C-012;Zweiter Rettungsweg;Zweiter Rettungsweg errichten klein;1;2;Stk;1;1;300.000,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
10;10G01;Paavo-Nurmi-Grundschule;10G01-01;10G01-01-C;10G01-01-C-014;Raumsanierung;Grundschulraum;1;1215,92;m²;1;1;425.572,00 €;;FALSCH;Wirtschaftlichkeitsuntersuchung erforderlich;A
