Schulnummer;Schulname;PLZ;Strasse;Kosten;lat;lng;Schulart;Prio
01A04;Berlin-Kolleg;10551;Turmstr. 75;6710000;52.526574;13.334076;Berlin-Kolleg;23
01G01;Grundschule am Arkonaplatz;10115;Ruppiner Str. 47-48;2450000;52.53684;13.40039;Grundschule;23
01G02;Papageno-Grundschule;10115;Bergstr. 58;2080000;52.532833;13.391048;Grundschule;23
01G04;Kastanienbaum-Grundschule;10119;Gipsstr. 23A;5360000;52.52678;13.4018;Grundschule;23
01G05;Grundschule Neues Tor;10115;Hannoversche Str. 20;4100000;52.52759;13.38033;Grundschule;23
01G07;GutsMuths-Grundschule;10179;Singerstr. 8;4250000;52.516365;13.42412;Grundschule;23
01G08;Grundschule am Brandenburger Tor;10117;Wilhelmstr. 52;5230000;52.51318;13.38276;Grundschule;23
01G10;City-Grundschule;10179;Sebastianstr. 57;90000;52.50737;13.40892;Grundschule;23
01G11;Kurt-Tucholsky-Grundschule;10559;Rathenower Str. 18;5810000;52.53026;13.35303;Grundschule;23
01G15;Anne-Frank-Grundschule;10557;Paulstr. 20B;2120000;52.51827;13.35527;Grundschule;23
01G16;Moabiter Grundschule;10557;Paulstr. 28;7560000;52.521974;13.35657;Grundschule;23
01G18;Carl-Bolle-Grundschule;10551;Waldenserstr. 20-21;9950000;52.528894;13.331807;Grundschule;1
01G19;Hansa-Grundschule;10555;Lessingstr. 5;1480000;52.5214;13.34019;Grundschule;23
01G24;Gottfried-Röhl-Grundschule;13349;Ungarnstr. 75;7110000;52.55719;13.35717;Grundschule;23
01G25;Rudolf-Wissell-Grundschule;13357;Ellerbeker Str. 7-8;7270000;52.55158;13.39611;Grundschule;1
01G27;Gesundbrunnen-Grundschule;13357;Prinzenallee 8;5270000;52.55338;13.38292;Grundschule;23
01G28;Brüder-Grimm-Grundschule;13353;Tegeler Str. 18-19;2880000;52.54146;13.35783;Grundschule;23
01G29;Wilhelm-Hauff-Grundschule;13359;Gotenburger Str. 8;1630000;52.557813;13.384347;Grundschule;23
01G31;Wedding-Grundschule;13347;Antonstr. 10;6040000;52.546206;13.362468;Grundschule;23
01G32;Carl-Kraemer-Grundschule;13359;Zechliner Str. 4;7760000;52.56107;13.38284;Grundschule;1
01G35;Humboldthain-Grundschule;13355;Grenzstr. 7;5150000;52.54323;13.380143;Grundschule;23
01G36;Andersen-Grundschule;13359;Kattegatstr. 26;3790000;52.56553;13.38891;Grundschule;23
01G37;Heinrich-Seidel-Grundschule;13355;Ramlerstr. 9-10;8940000;52.54695;13.39407;Grundschule;1
01G38;Gustav-Falke-Grundschule;13355;Strelitzer Str. 42;4260000;52.53795;13.39162;Grundschule;23
01G39;Vineta-Grundschule;13355;Demminer Str. 27;2150000;52.54222;13.3969;Grundschule;23
01G40;Möwensee-Grundschule;13351;Afrikanische Str. 123-125;6620000;52.55575;13.33375;Grundschule;1
01G41;Erika-Mann-Grundschule;13347;Utrechter Str. 25-27;5520000;52.55099;13.35786;Grundschule;23
01G42;Anna-Lindh-Schule (Grundschule);13351;Guineastr. 17-18;10860000;52.550375;13.341886;Grundschule;23
01G43;Albert-Gutzmann-Schule (Grundschule);13357;Orthstr. 1;7440000;52.549234;13.373261;Grundschule;
01G44;Allegro-Grundschule;10785;Lützowstr. 83-85;3900000;52.503571;13.363001;Grundschule;23
01G45;Leo-Lionni-Grundschule;13353;Müllerstr. 158;9530000;52.544342;13.361352;Grundschule;1
01G46;Grundschule am Koppenplatz;10115;Koppenplatz 12;5280000;52.52778;13.39745;Grundschule;23
01G47;Miriam-Makeba-Grundschule;10555;Zinzendorfstr. 15-16;7250000;52.52232;13.331446;Grundschule;1
01K01;Willy-Brandt-Schule;13357;Grüntaler Str. 5;5280000;52.55101;13.386048;Integrierte Sekundarschule;23
01K02;Ernst-Schering-Schule;13353;Lütticher Str. 47-48;11020000;52.54701;13.34782;Integrierte Sekundarschule;23
01K03;Ernst-Reuter-Schule;13355;Stralsunder Str. 57;16740000;52.538896;13.394373;Integrierte Sekundarschule;1
01K04;Heinrich-von-Stephan-Schule (Gemeinschaftsschule);10553;Neues Ufer 6;6980000;52.524775;13.316714;Integrierte Sekundarschule;23
01K06;Herbert-Hoover-Schule (Integrierte Sekundarschule);13357;Pankstr. 18-19;820000;52.546324;13.373398;Integrierte Sekundarschule;23
01K07;Hemingway-Schule;10115;Gartenstr. 10-17;2880000;52.530483;13.391682;Integrierte Sekundarschule;23
01K08;Schule am Schillerpark (Integrierte Sekundarschule);13349;Ofener Str. 6;9960000;52.55628;13.3457;Integrierte Sekundarschule;1
01K09;Hedwig-Dohm-Schule (Integrierte Sekundarschule);10559;Stephanstr. 27;6550000;52.53367;13.34651;Integrierte Sekundarschule;23
01K10;Theodor-Heuss-Schule (Gemeinschaftsschule);10559;Quitzowstr. 141;10930000;52.535722;13.354875;Integrierte Sekundarschule;23
01S01;Schule am Zille-Park;13347;Ravenéstr. 10-12;5420000;52.542859;13.372782;Integrierte Sekundarschule;23
01S05;Schule in der Charité;13353;Augustenburger Platz 1;0;52.542216;13.347104;Übrige Förderschwerpunkte;23
01S06;Albert-Gutzmann-Schule;13357;Orthstr. 1;0;52.549234;13.373261;Integrierte Sekundarschule;1
01S07;Charlotte-Pfeffer-Schule;10178;Berolinastr. 8;0;52.52226;13.42328;"Förderschwerp.""Geistige Entwicklung""";23
01Y02;John-Lennon-Gymnasium;10119;Zehdenicker Str. 17;4950000;52.530923;13.404105;Gymnasium;23
01Y07;Französisches Gymnasium;10785;Derfflingerstr. 7;6130000;52.50318;13.35549;Gymnasium;23
01Y08;Lessing-Gymnasium;13349;Schöningstr. 17;9630000;52.55734;13.34371;Gymnasium;1
01Y09;Diesterweg-Schule (Gymnasium);13357;Böttgerstr. 2-6;1080000;52.550012;13.378338;Gymnasium;23
01Y11;Max-Planck-Schule (Gymnasium);10179;Singerstr. 8A;1560000;52.516365;13.42412;Gymnasium;23
01Y12;Gymnasium Tiergarten;10555;Altonaer Str. 26;280000;52.51935;13.3394;Gymnasium;23
02G01;Spartacus-Grundschule;10249;Friedenstr. 40-45;830000;52.52106;13.43582;Grundschule;23
02G02;Hausburg-Grundschule;10249;Hausburgstr. 20;6600000;52.524208;13.454324;Grundschule;1
02G03;Justus-von-Liebig-Grundschule;10247;Liebigstr. 18A;5430000;52.518699;13.457697;Grundschule;23
02G04;Pettenkofer-Grundschule;10247;Pettenkoferstr. 20-24;5070000;52.518656;13471;Grundschule;23
02G07;Ludwig-Hoffmann-Grundschule;10243;Lasdehner Str. 21-23;1710000;52.514357;13.448886;Grundschule;23
02G08;Grundschule am Traveplatz;10247;Jessnerstr. 24-32;3040000;52.511492;13.471855;Grundschule;23
02G09;Zille-Grundschule;10245;Boxhagener Str. 46;1180000;52.50898;13.4653;Grundschule;23
02G10;Modersohn-Grundschule;10245;Niemannstr. 3;510000;52.50705;13.46024;Grundschule;23
02G11;Thalia-Grundschule;10245;Alt-Stralau 34;650000;52.492881;13.476151;Grundschule;23
02G12;Kurt-Schumacher-Grundschule;10969;Puttkamerstr. 19;9640000;52.504384;13.388493;Grundschule;1
02G13;Charlotte-Salomon-Grundschule;10965;Großbeerenstr. 40;4510000;52.49041;13.38183;Grundschule;23
02G14;Galilei-Grundschule;10969;Friedrichstr. 13;4850000;52.501885;13.391531;Grundschule;23
02G16;Lenau-Grundschule;10961;Nostitzstr. 60;11630000;52.49381;13.39154;Grundschule;1
02G18;Nürtingen-Grundschule;10997;Mariannenplatz 28;13480000;52.505469;13.426859;Grundschule;1
02G19;Fanny-Hensel-Grundschule;10963;Schöneberger Str. 23;2180000;52.50303;13.38014;Grundschule;23
02G20;Bürgermeister-Herz-Grundschule;10961;Wilmsstr. 10;3380000;52.49488;13.40516;Grundschule;23
02G21;Reinhardswald-Grundschule;10961;Gneisenaustr. 73-74;9380000;52.49059;13.3999;Grundschule;1
02G22;Jens-Nydahl-Grundschule;10999;Kohlfurter Str. 20;8080000;52.497294;13.41619;Grundschule;1
02G23;Fichtelgebirge-Grundschule;10997;Görlitzer Ufer 2;6580000;52.49575;13.44495;Grundschule;1
02G24;Otto-Wels-Grundschule;10969;Alexandrinenstr. 12;6240000;52.499923;13.401623;Grundschule;1
02G26;Lemgo-Grundschule;10967;Böckhstr. 5;6020000;52.494198;13.416454;Grundschule;23
02G27;Hunsrück-Grundschule;10999;Manteuffelstr. 79;6650000;52.497732;13.426632;Grundschule;23
02G29;Heinrich-Zille-Grundschule;10997;Waldemarstr. 118;4040000;52.500729;13.429182;Grundschule;23
02G31;Adolf-Glaßbrenner-Grundschule;10965;Hagelberger Str. 34;3570000;52.49085;13.38065;Grundschule;23
02G32;Clara-Grunwald-Grundschule;10963;Hallesche Str. 24;3580000;52.50077;13.38313;Grundschule;23
02G33;Aziz-Nesin-Grundschule;10961;Urbanstr. 15;4510000;52.49312;13.40611;Grundschule;23
02G34;34. Schule (Grundschule);10247;Scharnweberstr. 19;270000;52.51279;13.46783;Grundschule;23
02G35;Rosa-Parks-Grundschule;10999;Reichenberger Str. 65;13200000;52.495472;13.43052;Grundschule;23
02G36;36. Schule (Grundschule);10243;Andreasstr. 50;2960000;52.51663;13.43215;Übrige Förderschwerpunkte;23
02K01;Ellen-Key-Schule;10243;Rüdersdorfer Str. 20-28;6230000;52.5152;13.43689;Integrierte Sekundarschule;23
02K02;Carl-von-Ossietzky-Schule (Gemeinschaftsschule);10961;Blücherstr. 46;6460000;52.491647;13.404491;Integrierte Sekundarschule;1
02K03;Hector-Peterson-Schule;10963;Tempelhofer Ufer 15;10060000;52.49832;13.3841;Integrierte Sekundarschule;23
02K04;Lina-Morgenstern-Schule (Gemeinschaftsschule);10961;Gneisenaustr. 7;10910000;52.49178;13.38971;Integrierte Sekundarschule;1
02K05;Schule am Königstor (Integrierte Sekundarschule);10249;Weinstr. 3;200000;52.525666;13.425987;Integrierte Sekundarschule;23
02K06;Emanuel-Lasker-Schule;10245;Modersohnstr. 53;2220000;52.50277;13.45729;Integrierte Sekundarschule;23
02K07;Georg-Weerth-Schule;10249;Eckertstr. 16;4850000;52.518996;13.450401;Integrierte Sekundarschule;23
02K08;Refik-Veseli-Schule (Integrierte Sekundarschule);10997;Skalitzer Str. 55;12150000;52.49962;13.43555;Integrierte Sekundarschule;1
02K09;Albrecht-von-Graefe-Schule (Integrierte Sekundarschule);10967;Graefestr. 85-88;5000000;52.494205;13.418709;Integrierte Sekundarschule;23
02K10;Ferdinand-Freiligrath-Schule (Integrierte Sekundarschule);10961;Bergmannstr. 64;5920000;52.488798;13.40149;Integrierte Sekundarschule;1
02S01;Schule am Friedrichshain;10243;Lasdehner Str. 19;1190000;52.51449;13.4491;Integrierte Sekundarschule;23
02S02;Gustav-Meyer-Schule;10999;Kohlfurter Str. 22;9190000;52.497102;13.416721;"Förderschwerp.""Geistige Entwicklung""";1
02S03;Margarethe-von-Witzleben-Schule;10243;Palisadenstr. 76-77;3840000;52.51984;13.4346;Übrige Förderschwerpunkte;23
02S06;Liebmann-Schule;10969;Friedrichstr. 13;0;52.501885;13.391531;Übrige Förderschwerpunkte;23
02Y01;Andreas-Oberschule;10243;Koppenstr. 76;7280000;52.514039;13.434606;Gymnasium;23
02Y03;Heinrich-Hertz-Oberschule;10247;Rigaer Str. 81-82;7780000;52.51695;13.46306;Gymnasium;1
02Y04;Georg-Friedrich-Händel-Gymnasium;10247;Frankfurter Allee 6A;2080000;52.515331;13.455796;Gymnasium;23
02Y05;Dathe-Gymnasium;10243;Helsingforser Str. 11-13;6000000;52.510001;13.445399;Gymnasium;23
02Y06;Leibniz-Gymnasium;10961;Schleiermacherstr. 23;6880000;52.48978;13.39747;Gymnasium;1
02Y07;Robert-Koch-Gymnasium;10967;Dieffenbachstr. 60;6680000;52.49323;13.41596;Gymnasium;23
02Y08;Hermann-Hesse-Oberschule;10967;Böckhstr. 16;10030000;52.493579;13.419151;Gymnasium;1
03G01;Schule am Hamburger Platz (Grundschule);13086;Gustav-Adolf-Str. 21;3470000;52.55381;13.43681;Grundschule;23
03G02;Heinrich-Roller-Grundschule;10405;Heinrich-Roller-Str. 18;7620000;52.53064;13.42364;Grundschule;1
03G03;Grundschule am Kollwitzplatz;10435;Knaackstr. 67;1880000;52.53768;13.41489;Grundschule;23
03G04;Grundschule an der Marie;10405;Christburger Str. 7;3580000;52.536148;13.42559;Grundschule;23
03G05;Homer-Grundschule;10407;Pasteurstr. 10-12;3780000;52.53371;13.43237;Grundschule;23
03G06;Bötzow-Grundschule;10407;John-Schehr-Str. 38;1390000;52.535104;13.439793;Grundschule;23
03G08;Grundschule am Planetarium;10405;Ella-Kay-Str. 47;5430000;52.54145;13.43118;Grundschule;23
03G09;Thomas-Mann-Grundschule;10437;Greifenhagener Str. 58-59;1850000;52.54663;13.41479;Grundschule;23
03G10;Grundschule am Hohen Feld;13125;Bedeweg 1;1820000;52.61492;13.49606;Grundschule;23
03G11;Schule am Falkplatz (Grundschule);10437;Gleimstr. 49;7880000;52.54749;13.40538;Grundschule;1
03G12;Paul-Lincke-Grundschule;10409;Pieskower Weg 39;1350000;52.54129;13.44553;Grundschule;23
03G13;Rudolf-Dörrier-Grundschule;13158;Kastanienallee 59;4910000;52.59125;13.37612;Grundschule;23
03G14;Bornholmer Grundschule;10439;Ibsenstr. 17;9620000;52.55572;13.40768;Grundschule;1
03G16;Grundschule am Teutoburger Platz;10119;Templiner Str. 1-3;80000;52.533635;13.408651;Grundschule;23
03G17;Grundschule am Weißen See;13086;Amalienstr. 6;8790000;52.555294;13.457004;Grundschule;1
03G18;Picasso-Grundschule;13088;Gounodstr. 71;3460000;52.547032;13.460359;Grundschule;23
03G20;Grundschule im Moselviertel;13088;Brodenbacher Weg 31;2930000;52.559028;13.475454;Grundschule;23
03G21;Grundschule unter den Bäumen;13129;Alt-Blankenburg 26;2940000;52.592262;13.454422;Grundschule;23
